﻿MP's name,Constituency,Office maximum budget available,Reason for budget set,Office spend,Remaining office budget,Staffing maximum budget available,Reason for budget set,Staffing spend,Remaining staffing budget,Wind-up maximum budget available,Reason for budget set,Wind-up spend,Remaining wind-up budget,Subtotal of office running costs,Accommodation maximum budget available,Reason for budget set,Accommodation spend,Remaining accommodation budget,Travel and subsistence maximum budget available,Travel and subsistence spend,Other costs maximum budget available,Other costs spend,Subtotal of other parliamentary costs,Overall total spend for this financial year,pID
Aaron Bell,Newcastle-under-Lyme BC,41510,"Standard non-London area budget plus an uplift of £10,000 for Covid-related business costs, and a start-up supplement of £5,600",27266.2,14243.8,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",151192.23,42837.77,0,N/A,0,0,178458.43,9124.14,Hotels,9124.14,0,N/A,4250.17,N/A,0,13374.31,191832.74,4837
Abena Oppong-Asare,Erith and Thamesmead BC,44800,"Standard London area budget plus an uplift of £10,000 for Covid-related business costs, and a start-up supplement of £6,000",39276.04,5523.96,207130,"Standard London area budget plus an uplift of £18,270 for Covid-related business costs",189271.02,17858.98,0,N/A,0,0,228547.06,0,N/A,0,0,N/A,12,N/A,0,12,228559.06,4820
Adam Afriyie,Windsor CC,38800,"Standard London area budget plus an uplift of £10,000 for Covid-related business costs",1535.13,37264.87,207130,"Standard London area budget plus an uplift of £18,270 for Covid-related business costs",115559.53,91570.47,0,N/A,0,0,117094.66,0,N/A,0,0,N/A,0,N/A,0,0,117094.66,1586
Adam Holloway,Gravesham CC,34910,"Standard non-London area budget plus an uplift of £9,000 for Covid-related business costs",21845.32,13064.68,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",129567.43,64462.57,0,N/A,0,0,151412.75,0,N/A,0,0,N/A,530.4,N/A,0,530.4,151943.15,1522
Afzal Khan,"Manchester, Gorton BC",35910,"Standard non-London area budget plus an uplift of £10,000 for Covid-related business costs",24050.93,11859.07,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",183070.99,10959.01,0,N/A,0,0,207121.92,23010,Standard budget for renting a property in the London area,22784.27,225.73,N/A,431.15,N/A,0,23215.42,230337.34,4671
Alan Brown,Kilmarnock and Loudoun CC,35910,"Standard non-London area budget plus an uplift of £10,000 for Covid-related business costs",27257.3,8652.7,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",163498.8,30531.2,0,N/A,0,0,190756.1,23010,Standard budget for renting a property in the London area,20897.21,2112.79,N/A,8194.85,N/A,0,29092.06,219848.16,4470
Alan Campbell,Tynemouth BC,35910,"Standard non-London area budget plus an uplift of £10,000 for Covid-related business costs",18862.82,17047.18,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",154523.6,39506.4,0,N/A,0,0,173386.42,5410,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),5410,0,N/A,6383.6,N/A,0,11793.6,185180.02,529
Alan Mak,Havant BC,35810,"Standard non-London area budget plus an uplift of £9,900 for Covid-related business costs",30150.81,5659.19,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",150021.33,44008.67,0,N/A,0,0,180172.14,16120,Standard budget for renting a property outside the London area,15366.08,753.92,N/A,1610.05,N/A,0,16976.13,197148.27,4484
Alan Whitehead,"Southampton, Test BC",35910,"Standard non-London area budget plus an uplift of £10,000 for Covid-related business costs",29538.02,6371.98,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",162278.84,31751.16,0,N/A,0,0,191816.86,23010,Standard budget for renting a property in the London area,20580.9,2429.1,N/A,3614.5,N/A,0,24195.4,216012.26,62
Alberto Costa,South Leicestershire CC,35110,"Standard non-London area budget plus an uplift of £9,200 for Covid-related business costs",31095.42,4014.58,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",154774.15,39255.85,0,N/A,0,0,185869.57,33880,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",23214.35,10665.65,N/A,2805.12,N/A,0,26019.47,211889.04,4439
Alec Shelbrooke,Elmet and Rothwell CC,35910,"Standard non-London area budget plus an uplift of £10,000 for Covid-related business costs",22181.46,13728.54,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",152687.83,41342.17,0,N/A,0,0,174869.29,23010,Standard budget for renting a property in the London area,20953.79,2056.21,N/A,4186.15,N/A,0,25139.94,200009.23,3997
Alex Burghart,Brentwood and Ongar CC,38800,"Standard London area budget plus an uplift of £10,000 for Covid-related business costs",5935.96,32864.04,207130,"Standard London area budget plus an uplift of £18,270 for Covid-related business costs",114561.89,92568.11,0,N/A,0,0,120497.85,0,N/A,0,0,N/A,0,N/A,0,0,120497.85,4613
Alex Chalk,Cheltenham BC,35910,"Standard non-London area budget plus an uplift of £10,000 for Covid-related business costs",22524.64,13385.36,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",162944.81,31085.19,0,N/A,0,0,185469.45,5410,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),4880.45,529.55,N/A,2485.1,N/A,450,7815.55,193285,4481
Alex Cunningham,Stockton North BC,35910,"Standard non-London area budget plus an uplift of £10,000 for Covid-related business costs",25276.61,10633.39,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",185098.33,8931.67,0,N/A,0,0,210374.94,23010,Standard budget for renting a property in the London area,22564,446,N/A,5308.3,N/A,0,27872.3,238247.24,4122
Alex Davies-Jones,Pontypridd CC,41910,"Standard non-London area budget plus an uplift of £10,000 for Covid-related business costs, and a start-up supplement of £6,000",35143.07,6766.93,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",163540.8,30489.2,0,N/A,0,0,198683.87,33880,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",31895.72,1984.28,N/A,4232.94,N/A,0,36128.66,234812.53,4849
Alex Norris,Nottingham North BC,35910,"Standard non-London area budget plus an uplift of £10,000 for Covid-related business costs",24227.84,11682.16,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",171127.55,22902.45,0,N/A,0,0,195355.39,23010,Standard budget for renting a property in the London area,22215.18,794.82,N/A,312.3,N/A,0,22527.48,217882.87,4641
Alex Sobel,Leeds North West BC,33477.19,"Standard non-London area budget plus an uplift of £7,567.19 for Covid-related business costs",26152.48,7324.71,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",184739.87,9290.13,0,N/A,0,0,210892.35,33880,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",27231.94,6648.06,N/A,5843.54,N/A,0,33075.48,243967.83,4658
Alexander Stafford,Rother Valley CC,41910,"Standard non-London area budget plus an uplift of £10,000 for Covid-related business costs, and a start-up supplement of £6,000",34051.88,7858.12,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",139898.96,54131.04,0,N/A,0,0,173950.84,21555,"Standard budget for renting a property outside the London area, with an uplift to cover the cost of one dependant",19122.5,2432.5,N/A,3623.94,N/A,89.76,22836.2,196787.04,4866
Alicia Kearns,Rutland and Melton CC,41910,"Standard non-London area budget plus an uplift of £10,000 for Covid-related business costs, and a start-up supplement of £6,000",27067.64,14842.36,194030,"Standard non-London area budget plus an uplift of £16,480 for Covid-related business costs",179617.66,14412.34,0,N/A,0,0,206685.3,26576.1,"Standard budget for renting a property outside the London area until 17 September 2020, and in the London area from 18 September 2020, with an uplift to cover the cost of one dependant for nine months and two dependants for three months",22222.37,4353.73,N/A,1668.64,N/A,0,23891.01,230576.31,4805
