﻿MP's name,Constituency,Office maximum budget available,Reason for budget set,Office spend,Remaining office budget,Staffing maximum budget available,Reason for budget set,Staffing spend,Remaining staffing budget,Wind-up maximum budget available,Reason for budget set,Wind-up spend,Remaining wind-up budget,Subtotal of office running costs,Accommodation maximum budget available,Reason for budget set,Accommodation spend,Remaining accommodation budget,Travel and subsistence maximum budget available,Travel and subsistence spend,Other costs maximum budget available,Other costs spend,Subtotal of other parliamentary costs,Overall total spend for this financial year,pID
Adam Afriyie,Windsor CC,,,0,,,,0,,,,0,,0,,,0,,uncapped,0,uncapped,0,0,0,1586
Adam Holloway,Gravesham CC,,,6652.87,,,,2914.8,,,,0,,9567.67,,,0,,uncapped,1992.79,uncapped,0,1992.79,11560.46,1522
Adrian Bailey,West Bromwich West BC,,,22673.51,,,,762.41,,,,0,,23435.92,,,7659.16,,uncapped,3768.65,uncapped,0,11427.81,34863.73,320
Adrian Sanders,Torbay BC,,,16141.95,,,,2169.13,,,,0,,18311.08,,,12348.04,,uncapped,9773.22,uncapped,223.2,22344.46,40655.54,237
Aidan Burley,Cannock Chase CC,,,33867.73,,,,3877.5,,,,0,,37745.23,,,9812.41,,uncapped,4963.7,uncapped,0,14776.11,52521.34,3937
Alan Beith,Berwick-upon-Tweed CC,,,19425.75,,,,2582.27,,,,0,,22008.02,,,9623.32,,uncapped,11177.8,uncapped,90.3,20891.42,42899.44,513
Alan Campbell,Tynemouth BC,,,24310.76,,,,1200,,,,0,,25510.76,,,4385.91,,uncapped,9818.96,uncapped,0,14204.87,39715.63,529
Alan Duncan,Rutland and Melton CC,,,30845.05,,,,2408.75,,,,0,,33253.8,,,16041.67,,uncapped,3836.75,uncapped,0,19878.42,53132.22,343
Alan Haselhurst,Saffron Walden CC,,,11555.02,,,,5050.78,,,,0,,16605.8,,,10366.77,,uncapped,3041.85,uncapped,0,13408.62,30014.42,43
Alan Johnson,Kingston upon Hull West and Hessle BC,,,8126.88,,,,0,,,,0,,8126.88,,,7455.72,,uncapped,4280.7,uncapped,0,11736.42,19863.3,376
Alan Keen,Feltham and Heston BC,,,10898.06,,,,823.4,,,,0,,11721.46,,,0,,uncapped,428.48,uncapped,0,428.48,12149.94,169
Alan Meale,Mansfield CC,,,18889.72,,,,846,,,,0,,19735.72,,,6161.23,,uncapped,7925.49,uncapped,6.07,14092.79,33828.51,361
Alan Reid,Argyll and Bute CC,,,24159.94,,,,2369,,,,0,,26528.94,,,10622.98,,uncapped,15626.07,uncapped,0,26249.05,52777.99,1385
Alan Whitehead,"Southampton, Test BC",,,26288.08,,,,87.75,,,,0,,26375.83,,,4973.25,,uncapped,3123.65,uncapped,0,8096.9,34472.73,62
Alasdair McDonnell,Belfast South,,,26440.46,,,,0,,,,0,,26440.46,,,3059,,uncapped,11144.71,uncapped,0,14203.71,40644.17,1596
Albert Owen,Ynys Môn CC,,,15241.06,,,,0,,,,0,,15241.06,,,11200.68,,uncapped,3941.65,uncapped,0,15142.33,30383.39,1474
Alec Shelbrooke,Elmet and Rothwell CC,,,14116.92,,,,5827.5,,,,0,,19944.42,,,16255.18,,uncapped,6183.07,uncapped,0,22438.25,42382.67,3997
Alex Cunningham,Stockton North BC,,,18746.29,,,,0,,,,0,,18746.29,,,17263.29,,uncapped,5171.85,uncapped,0,22435.14,41181.43,4122
Alison McGovern,Wirral South CC,,,25028.01,,,,45.75,,,,0,,25073.76,,,7730.45,,uncapped,4294.75,uncapped,19,12044.2,37117.96,4083
Alison Seabeck,"Plymouth, Moor View BC",,,19088.47,,,,0,,,,0,,19088.47,,,11934.02,,uncapped,8808.05,uncapped,0,20742.07,39830.54,1552
Alistair Burt,North East Bedfordshire CC,,,8385.76,,,,5573.15,,,,0,,13958.91,,,0,,uncapped,1411.65,uncapped,0,1411.65,15370.56,1201
Alistair Carmichael,Orkney and Shetland CC,,,34322.43,,,,0,,,,0,,34322.43,,,9260.17,,uncapped,32128.39,uncapped,0,41388.56,75710.99,1442
Alistair Darling,Edinburgh South West BC,,,16387.08,,,,0,,,,0,,16387.08,,,14174.69,,uncapped,9451.7,uncapped,0,23626.39,40013.47,596
Alok Sharma,Reading West CC,,,8088.41,,,,4246.97,,,,0,,12335.38,,,0,,uncapped,236.1,uncapped,0,236.1,12571.48,4014
Alun Cairns,Vale of Glamorgan CC,,,20934.75,,,,3877.5,,,,0,,24812.25,,,18465.02,,uncapped,8670.7,uncapped,0,27135.72,51947.97,4086
Alun Michael,Cardiff South and Penarth BC,,,32415.93,,,,0,,,,0,,32415.93,,,4147.2,,uncapped,5039.65,uncapped,0,9186.85,41602.78,562
Amber Rudd,Hastings and Rye CC,,,23334.81,,,,6382.49,,,,0,,29717.3,,,0,,uncapped,1552.6,uncapped,0,1552.6,31269.9,3983
Anas Sarwar,Glasgow Central BC,,,22080.86,,,,0,,,,0,,22080.86,,,18811.27,,uncapped,11928.08,uncapped,0,30739.35,52820.21,3981
Andrea Leadsom,South Northamptonshire CC,,,8284.6,,,,3877.5,,,,0,,12162.1,,,0,,uncapped,27.7,uncapped,0,27.7,12189.8,4117
Andrew Bingham,High Peak CC,,,19529.2,,,,8433.46,,,,0,,27962.66,,,17811.55,,uncapped,4383.6,uncapped,0,22195.15,50157.81,3994
Andrew Bridgen,North West Leicestershire CC,,,19961.49,,,,5827.5,,,,0,,25788.99,,,15455.97,,uncapped,3197.9,uncapped,0,18653.87,44442.86,4133
Andrew George,St Ives CC,,,31825.22,,,,4319.26,,,,0,,36144.48,,,11341.52,,uncapped,15386.3,uncapped,0,26727.82,62872.3,227
Andrew Griffiths,Burton CC,,,7163.26,,,,10194.16,,,,0,,17357.42,,,12117.11,,uncapped,4674.8,uncapped,0,16791.91,34149.33,3936
Andrew Gwynne,Denton and Reddish BC,,,22874.56,,,,1200,,,,0,,24074.56,,,16688.52,,uncapped,4492.8,uncapped,0,21181.32,45255.88,1506
Andrew Jones,Harrogate and Knaresborough CC,,,16480.07,,,,3877.5,,,,0,,20357.57,,,1864.19,,uncapped,7039.76,uncapped,0,8903.95,29261.52,3996
Andrew Lansley,South Cambridgeshire CC,,,22228.38,,,,2408.75,,,,0,,24637.13,,,3380.48,,uncapped,1424.8,uncapped,0,4805.28,29442.41,123
Andrew Miller,Ellesmere Port and Neston CC,,,20190.28,,,,0,,,,0,,20190.28,,,7511.45,,uncapped,9974.8,uncapped,0,17486.25,37676.53,428
Andrew Mitchell,Sutton Coldfield BC,,,13971.63,,,,5165.7,,,,0,,19137.33,,,10450.8,,uncapped,3399.59,uncapped,0,13850.39,32987.72,1211
Andrew Murrison,South West Wiltshire CC,,,21749.63,,,,2408.75,,,,0,,24158.38,,,1671.34,,uncapped,3115,uncapped,0,4786.34,28944.72,1466
Andrew Percy,Brigg and Goole CC,,,20831.52,,,,0,,,,0,,20831.52,,,10410.95,,uncapped,3070.3,uncapped,0,13481.25,34312.77,3939
Andrew Robathan,South Leicestershire CC,,,1432.77,,,,3907,,,,0,,5339.77,,,4351.12,,uncapped,3268.5,uncapped,0,7619.62,12959.39,334
Andrew Rosindell,Romford BC,,,14702.98,,,,0,,,,0,,14702.98,,,0,,uncapped,826.75,uncapped,0,826.75,15529.73,1447
Andrew Selous,South West Bedfordshire CC,,,17221.87,,,,13695.96,,,,0,,30917.83,,,0,,uncapped,363.5,uncapped,0,363.5,31281.33,1453
Andrew Smith,Oxford East BC,,,29382.88,,,,0,,,,0,,29382.88,,,4661.58,,uncapped,2640.26,uncapped,0,7301.84,36684.72,95
Andrew Stephenson,Pendle BC,,,16311.51,,,,3877.5,,,,0,,20189.01,,,10432.1,,uncapped,4446.7,uncapped,0,14878.8,35067.81,4044
Andrew Stunell,Hazel Grove CC,,,22694.58,,,,0,,,,0,,22694.58,,,0,,uncapped,1001,uncapped,0,1001,23695.58,445
Andrew Turner,Isle of Wight CC,,,20292.73,,,,1483.56,,,,0,,21776.29,,,16616.56,,uncapped,4915.09,uncapped,0,21531.65,43307.94,1426
Andrew Tyrie,Chichester CC,,,4230.99,,,,0,,,,0,,4230.99,,,0,,uncapped,2036.8,uncapped,0,2036.8,6267.79,112
Andy Burnham,Leigh CC,,,18094.21,,,,662.96,,,,0,,18757.17,,,10770.15,,uncapped,5730.93,uncapped,0,16501.08,35258.25,1427
Andy Love,Edmonton BC,,,27488.48,,,,1044.99,,,,0,,28533.47,,,0,,uncapped,730.78,uncapped,0,730.78,29264.25,164
Andy Slaughter,Hammersmith BC,,,39053.37,,,,2459.61,,,,0,,41512.98,,,0,,uncapped,1150.75,uncapped,0,1150.75,42663.73,1516
Angela Eagle,Wallasey BC,,,22264.75,,,,0,,,,0,,22264.75,,,3714.21,,uncapped,5173.61,uncapped,0,8887.82,31152.57,491
Angela Smith,Penistone and Stocksbridge CC,,,30947.77,,,,0,,,,0,,30947.77,,,20721.94,,uncapped,6487.58,uncapped,0,27209.52,58157.29,1564
Angela Watkinson,Hornchurch and Upminster BC,,,23398.75,,,,0,,,,0,,23398.75,,,0,,uncapped,1135.2,uncapped,0,1135.2,24533.95,1462
Angie Bray,Ealing Central and Acton BC,,,8296.9,,,,3877.5,,,,0,,12174.4,,,0,,uncapped,30,uncapped,0,30,12204.4,3979
Angus MacNeil,Na h-Eileanan an Iar CC,,,20652.85,,,,0,,,,0,,20652.85,,,17363.22,,uncapped,31010.93,uncapped,0,48374.15,69027,1546
Angus Robertson,Moray CC,,,23536.94,,,,0,,,,0,,23536.94,,,13489.28,,uncapped,20370.69,uncapped,0,33859.97,57396.91,1433
Ann Clwyd,Cynon Valley CC,,,11812.67,,,,0,,,,0,,11812.67,,,6537.21,,uncapped,5902.42,uncapped,0,12439.63,24252.3,553
Ann Coffey,Stockport BC,,,20438.68,,,,0,,,,0,,20438.68,,,2468.64,,uncapped,3714.82,uncapped,0,6183.46,26622.14,458
Ann McKechin,Glasgow North BC,,,22433.32,,,,0,,,,0,,22433.32,,,1733.79,,uncapped,14541.47,uncapped,0,16275.26,38708.58,1419
Anna Soubry,Broxtowe CC,,,32920.15,,,,4434.7,,,,0,,37354.85,,,10228.75,,uncapped,4913.55,uncapped,0,15142.3,52497.15,3938
Anne Begg,Aberdeen South BC,,,27929.36,,,,0,,,,0,,27929.36,,,16698.38,,uncapped,22029.93,uncapped,0,38728.31,66657.67,572
Anne Main,St Albans CC,,,9616.26,,,,5108.75,,,,0,,14725.01,,,11499.08,,uncapped,80,uncapped,0,11579.08,26304.09,1568
Anne McGuire,Stirling CC,,,24380.06,,,,0,,,,0,,24380.06,,,15169.67,,uncapped,12861.54,uncapped,0,28031.21,52411.27,636
Anne McIntosh,Thirsk and Malton CC,,,10442.07,,,,0,,,,0,,10442.07,,,8627.95,,uncapped,8517.5,uncapped,0,17145.45,27587.52,384
Anne Milton,Guildford CC,,,12755.13,,,,6201.06,,,,0,,18956.19,,,0,,uncapped,560.75,uncapped,0,560.75,19516.94,1523
Anne Morris,Newton Abbot CC,,,28128.9,,,,3877.5,,,,0,,32006.4,,,14253.77,,uncapped,5214.9,uncapped,52.63,19521.3,51527.7,4249
Annette Brooke,Mid Dorset and North Poole CC,,,21447.88,,,,3198.4,,,,0,,24646.28,,,13450.35,,uncapped,1891.34,uncapped,0,15341.69,39987.97,1431
Austin Mitchell,Great Grimsby BC,,,24699.72,,,,0,,,,0,,24699.72,,,11829.72,,uncapped,5459.71,uncapped,3990,21279.43,45979.15,372
Barbara Keeley,Worsley and Eccles South CC,,,42246.4,,,,1200,,,,0,,43446.4,,,0,,uncapped,5390.41,uncapped,0,5390.41,48836.81,1588
Barry Gardiner,Brent North BC,,,10504.88,,,,0,,,,0,,10504.88,,,0,,uncapped,2761.5,uncapped,0,2761.5,13266.38,146
Barry Sheerman,Huddersfield BC,,,22916.12,,,,88.45,,,,0,,23004.57,,,8569.63,,uncapped,1864.8,uncapped,0,10434.43,33439,411
Ben Bradshaw,Exeter BC,,,13074.52,,,,521.1,,,,0,,13595.62,,,3874.54,,uncapped,3806.5,uncapped,0,7681.04,21276.66,230
Ben Gummer,Ipswich BC,,,25159.14,,,,3877.5,,,,0,,29036.64,,,8250,,uncapped,5806.59,uncapped,0,14056.59,43093.23,3988
Ben Wallace,Wyre and Preston North CC,,,15467.17,,,,0,,,,0,,15467.17,,,13196.99,,uncapped,16179.08,uncapped,2178.54,31554.61,47021.78,1539
Bernard Jenkin,Harwich and North Essex CC,,,4910.95,,,,4358.75,,,,0,,9269.7,,,10047.69,,uncapped,2487.02,uncapped,0,12534.71,21804.41,40
Bill Cash,Stone CC,,,18293.3,,,,8409.61,,,,0,,26702.91,,,13793.76,,uncapped,6391.91,uncapped,0,20185.67,46888.58,288
Bill Esterson,Sefton Central CC,,,25719.07,,,,0,,,,0,,25719.07,,,12818.17,,uncapped,8803.67,uncapped,0,21621.84,47340.91,4061
Bill Wiggin,North Herefordshire CC,,,4654.24,,,,2408.75,,,,0,,7062.99,,,0,,uncapped,4566.83,uncapped,0,4566.83,11629.82,1428
Bob Ainsworth,Coventry North East BC,,,23684.22,,,,574.4,,,,0,,24258.62,,,15598.07,,uncapped,5103.35,uncapped,39.99,20741.41,45000.03,306
Bob Blackman,Harrow East BC,,,33607.22,,,,7755,,,,0,,41362.22,,,0,,uncapped,3927.67,uncapped,0,3927.67,45289.89,4005
Bob Neill,Bromley and Chislehurst BC,,,8338.31,,,,0,,,,0,,8338.31,,,0,,uncapped,196.8,uncapped,0,196.8,8535.11,1601
Bob Russell,Colchester BC,,,30581.8,,,,5063.17,,,,0,,35644.97,,,0,,uncapped,2896.1,uncapped,0,2896.1,38541.07,35
Bob Stewart,Beckenham BC,,,16620.97,,,,5640,,,,0,,22260.97,,,0,,uncapped,32.3,uncapped,0,32.3,22293.27,3919
Brandon Lewis,Great Yarmouth CC,,,29953.53,,,,15677.5,,,,0,,45631.03,,,15412.2,,uncapped,3476.9,uncapped,0,18889.1,64520.13,4009
Brian Binley,Northampton South BC,,,16996.38,,,,6827.5,,,,0,,23823.88,,,10501.56,,uncapped,2273.91,uncapped,0,12775.47,36599.35,1550
Brian Donohoe,Central Ayrshire CC,,,30232.19,,,,0,,,,0,,30232.19,,,16041.71,,uncapped,21539.12,uncapped,0,37580.83,67813.02,586
Bridget Phillipson,Houghton and Sunderland South BC,,,23347.8,,,,1125,,,,0,,24472.8,,,19551.4,,uncapped,8196,uncapped,1769.49,29516.89,53989.69,4046
Brooks Newmark,Braintree CC,,,21789.56,,,,0,,,,0,,21789.56,,,7605.5,,uncapped,1104,uncapped,0,8709.5,30499.06,1488
Caroline Dinenage,Gosport BC,,,15161.45,,,,4314.45,,,,0,,19475.9,,,12730.5,,uncapped,5169.35,uncapped,0,17899.85,37375.75,4008
Caroline Flint,Don Valley CC,,,20684.14,,,,0,,,,0,,20684.14,,,8024.93,,uncapped,5298.55,uncapped,0,13323.48,34007.62,389
Caroline Lucas,"Brighton, Pavilion BC",,,32779.41,,,,0,,,,0,,32779.41,,,5921.18,,uncapped,5038.25,uncapped,0,10959.43,43738.84,3930
Caroline Nokes,Romsey and Southampton North CC,,,1592.83,,,,5158.35,,,,0,,6751.18,,,17000.44,,uncapped,3934.4,uncapped,0,20934.84,27686.02,4048
Caroline Spelman,Meriden CC,,,19139.56,,,,2408.75,,,,0,,21548.31,,,0,,uncapped,3480.92,uncapped,0,3480.92,25029.23,312
