﻿MP's name,Constituency,Office maximum budget available,Reason for budget set,Office spend,Remaining office budget,Staffing maximum budget available,Reason for budget set,Staffing spend,Remaining staffing budget,Wind-up maximum budget available,Reason for budget set,Wind-up spend,Remaining wind-up budget,Subtotal of office running costs,Accommodation maximum budget available,Reason for budget set,Accommodation spend,Remaining accommodation budget,Travel and subsistence maximum budget available,Travel and subsistence spend,Other costs maximum budget available,Other costs spend,Subtotal of other parliamentary costs,Overall total spend for this financial year,pID
Adam Afriyie,Windsor CC,27660,Standard London area budget,500,27160,164460,Standard London area budget,116972.37,47487.63,0,,0,0,117472.37,0,,0,0,uncapped,0,uncapped,0,0,117472.37,1586
Adam Holloway,Gravesham CC,24880,Standard non-London area budget,14793.68,10086.32,153620,Standard non-London area budget,134212.73,19407.27,0,,0,0,149006.41,0,,0,0,uncapped,5328.3,uncapped,0,5328.3,154334.71,1522
Adrian Bailey,West Bromwich West BC,24880,Standard non-London area budget,23525.34,1354.66,153620,Standard non-London area budget,133257.59,20362.41,0,,0,0,156782.93,22850,Standard budget for renting a property in the London area,19980.34,2869.66,uncapped,1950.8,uncapped,0,21931.14,178714.07,320
Afzal Khan,"Manchester, Gorton BC",24880,Standard non-London area budget,23360.39,1519.61,153620,Standard non-London area budget,149282.9,4337.1,0,,0,0,172643.29,22850,Standard budget for renting a property in the London area,22174.25,675.75,uncapped,6169.59,uncapped,0,28343.84,200987.13,4671
Alan Brown,Kilmarnock and Loudoun CC,24880,Standard non-London area budget,23672.22,1207.78,153620,Standard non-London area budget,133224.28,20395.72,0,,0,0,156896.5,22850,Standard budget for renting a property in the London area,20852.13,1997.87,uncapped,21888.1,uncapped,0,42740.23,199636.73,4470
Alan Campbell,Tynemouth BC,24880,Standard non-London area budget,22644.24,2235.76,153620,Standard non-London area budget,128637.39,24982.61,0,,0,0,151281.63,5150,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),5088.52,61.48,uncapped,11808.92,uncapped,0,16897.44,168179.07,529
Alan Duncan,Rutland and Melton CC,24880,Standard non-London area budget,21468.55,3411.45,153620,Standard non-London area budget,108149.65,45470.35,0,,0,0,129618.2,5150,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),5139.29,10.71,uncapped,2316.15,uncapped,0,7455.44,137073.64,343
Alan Mak,Havant BC,24880,Standard non-London area budget,24880,0,153620,Standard non-London area budget,134745.63,18874.37,0,,0,0,159625.63,22850,Standard budget for renting a property in the London area,22620,230,uncapped,4083.7,uncapped,0,26703.7,186329.33,4484
Alan Whitehead,"Southampton, Test BC",24880,Standard non-London area budget,24025.12,854.88,153620,Standard non-London area budget,153563.63,56.37,0,,0,0,177588.75,22850,Standard budget for renting a property in the London area,20202.96,2647.04,uncapped,4371.15,uncapped,0,24574.11,202162.86,62
Albert Owen,Ynys Môn CC,24880,Standard non-London area budget,21297.75,3582.25,153620,Standard non-London area budget,112568.03,41051.97,0,,0,0,133865.78,22850,Standard budget for renting a property in the London area,21984.94,865.06,uncapped,12444.68,uncapped,285.6,34715.22,168581,1474
Alberto Costa,South Leicestershire CC,24880,Standard non-London area budget,23750.44,1129.56,153620,Standard non-London area budget,135506.74,18113.26,0,,0,0,159257.18,29222.68,"Standard budget for renting a property outside the London area for four months with an uplift to cover the cost of two dependants, and in the London area for seven months with an uplift to cover the cost of two dependants, and £616 in hotel costs",18214.67,11008.01,uncapped,16988.96,uncapped,0,35203.63,194460.81,4439
Alec Shelbrooke,Elmet and Rothwell CC,24880,Standard non-London area budget,12874.05,12005.95,153620,Standard non-London area budget,133200.82,20419.18,0,,0,0,146074.87,22850,Standard budget for renting a property in the London area,19489.79,3360.21,uncapped,8076.53,uncapped,0,27566.32,173641.19,3997
Alex Burghart,Brentwood and Ongar CC,27660,Standard London area budget,4187.75,23472.25,164460,Standard London area budget,105793.31,58666.69,0,,0,0,109981.06,0,,0,0,uncapped,0,uncapped,0,0,109981.06,4613
Alex Chalk,Cheltenham BC,24880,Standard non-London area budget,22448.2,2431.8,153620,Standard non-London area budget,152070.2,1549.8,0,,0,0,174518.4,5150,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),4179.19,970.81,uncapped,9598.73,uncapped,0,13777.92,188296.32,4481
Alex Cunningham,Stockton North BC,24880,Standard non-London area budget,20759.41,4120.59,153620,Standard non-London area budget,152910.46,709.54,0,,0,0,173669.87,22850,Standard budget for renting a property in the London area,21116.63,1733.37,uncapped,10473.67,uncapped,0,31590.3,205260.17,4122
Alex Norris,Nottingham North BC,24880,Standard non-London area budget,23957.78,922.22,153620,Standard non-London area budget,142195.06,11424.94,0,,0,0,166152.84,22942.79,"Standard budget for renting a property in the London area, and £92.79 in hotel costs",22201.79,741,uncapped,7234.52,uncapped,0,29436.31,195589.15,4641
Alex Sobel,Leeds North West BC,24880,Standard non-London area budget,24845.63,34.37,153620,Standard non-London area budget,153607.71,12.29,0,,0,0,178453.34,33720,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",23219.03,10500.97,uncapped,12004.62,uncapped,0,35223.65,213676.99,4658
Alison McGovern,Wirral South CC,24880,Standard non-London area budget,16106.58,8773.42,153620,Standard non-London area budget,128082.84,25537.16,0,,0,0,144189.42,28285,"Standard budget for renting a property in the London area, plus an uplift to cover the cost of one dependant",19187.01,9097.99,uncapped,13815.82,uncapped,0,33002.83,177192.25,4083
Alison Thewliss,Glasgow Central BC,25141.88,"Standard non-London area budget, plus an uplift of £261.88, granted following an application to IPSA",25141.88,0,153620,Standard non-London area budget,150939.81,2680.19,0,,0,0,176081.69,33720,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",25021.83,8698.17,uncapped,29557.28,uncapped,0,54579.11,230660.8,4430
Alistair Burt,North East Bedfordshire CC,24880,Standard non-London area budget,12768.88,12111.12,153620,Standard non-London area budget,152002.4,1617.6,0,,0,0,164771.28,22850,Standard budget for renting a property in the London area,22740,110,uncapped,4154.64,uncapped,0,26894.64,191665.92,1201
Alistair Carmichael,Orkney and Shetland CC,26924.12,"Standard non-London area budget, plus an uplift of £2,044.12, granted following an application to IPSA",26902.85,21.27,153620,Standard non-London area budget,130687.68,22932.32,0,,0,0,157590.53,28285,"Standard budget for renting a property in the London area, plus an uplift to cover the cost of one dependant",13596,14689,uncapped,52783.68,uncapped,0,71170.81,228761.34,1442
